Gene,gene.description
AT2G32520,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT2G32520]
AT5G63030,Glutaredoxin-C1 [Source:UniProtKB/Swiss-Prot;Acc:Q8L8T2]
AT1G71360,Galactose-binding protein [Source:TAIR;Acc:AT1G71360]
AT3G60750,"Transketolase-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8RWV0]"
AT1G17750,Leucine-rich repeat receptor-like protein kinase PEPR2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FZ59]
AT1G09890,Rhamnogalacturonate lyase family protein [Source:TAIR;Acc:AT1G09890]
AT1G15370,SNARE-like superfamily protein [Source:TAIR;Acc:AT1G15370]
AT1G48870,Transducin/WD40 repeat-like superfamily protein [Source:TAIR;Acc:AT1G48870]
AT2G01970,Transmembrane 9 superfamily member 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPS7]
AT4G14880,Cysteine synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:P47998]
AT5G47480,Protein transport protein SEC16A homolog [Source:UniProtKB/Swiss-Prot;Acc:Q9FGK9]
AT4G22640,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT4G22640]
AT2G26240,Protein FATTY ACID EXPORT 7 [Source:UniProtKB/Swiss-Prot;Acc:O64847]
AT5G59050,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G54000.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Euk /.../s - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT5G59050]
AT1G24180,"Pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8H1Y0]"
AT5G02430,Transducin/WD40 repeat-like superfamily protein [Source:TAIR;Acc:AT5G02430]
AT1G77240,Probable acyl-activating enzyme 4 [Source:UniProtKB/Swiss-Prot;Acc:O80658]
AT1G05135,pseudogene of unknown protein [Source:TAIR;Acc:AT1G05135]
AT5G19930,"Protein of unknown function DUF92, transmembrane [Source:TAIR;Acc:AT5G19930]"
AT2G25590,Plant Tudor-like protein [Source:TAIR;Acc:AT2G25590]
AT5G54660,21.7 kDa class VI heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:Q9FIT9]
AT1G05562,"Potential natural antisense gene, locus overlaps with AT1G05560 [Source:TAIR;Acc:AT1G05562]"
AT5G61210,SNAP25 homologous protein SNAP33 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7P9]
AT3G19960,Myosin-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LHE9]
AT5G12860,"Dicarboxylate transporter 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LXV3]"
AT1G48410,Protein argonaute 1 [Source:UniProtKB/Swiss-Prot;Acc:O04379]
AT4G12290,Copper amine oxidase family protein [Source:TAIR;Acc:AT4G12290]
AT5G02840,Protein REVEILLE 4 [Source:UniProtKB/Swiss-Prot;Acc:Q6R0G4]
AT4G26070,Mitogen-activated protein kinase kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q94A06]
AT1G29465,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422;  /.../ - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT1G29465]
AT1G76540,Cyclin-dependent kinase B2-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LF80]
AT5G09290,Probable SAL4 phosphatase [Source:UniProtKB/Swiss-Prot;Acc:Q84VY5]
AT2G38460,Solute carrier family 40 member 1 [Source:UniProtKB/Swiss-Prot;Acc:O80905]
AT3G11402,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT3G11402]
AT2G46150,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:TAIR;Acc:AT2G46150]
AT4G19680,Fe(2+) transport protein 2 [Source:UniProtKB/Swiss-Prot;Acc:O81850]
AT1G04850,ubiquitin-associated (UBA)/TS-N domain-containing protein [Source:TAIR;Acc:AT1G04850]
AT4G16880,Leucine-rich repeat (LRR) family protein [Source:TAIR;Acc:AT4G16880]
AT2G23130,Lysine-rich arabinogalactan protein 17 [Source:UniProtKB/Swiss-Prot;Acc:O22194]
AT2G26980,CBL-interacting serine/threonine-protein kinase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q2V452]
AT4G28760,Protein of unknown function (DUF3741) [Source:TAIR;Acc:AT4G28760]
AT3G46230,17.4 kDa class I heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:P19036]
AT1G74300,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT1G74300]
AT3G02180,Protein SPIRAL1-like 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7P8]
AT3G06770,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT3G06770]
AT2G17760,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT2G17760]
AT5G61390,Protein NEN2 [Source:UniProtKB/Swiss-Prot;Acc:Q0V842]
AT3G27090,DCD (Development and Cell Death) domain protein [Source:TAIR;Acc:AT3G27090]
AT4G39390,nucleotide sugar transporter-KT 1 [Source:TAIR;Acc:AT4G39390]
AT5G52040,Serine/arginine-rich splicing factor RS41 [Source:UniProtKB/Swiss-Prot;Acc:P92966]
AT3G57140,Triacylglycerol lipase SDP1L [Source:UniProtKB/Swiss-Prot;Acc:Q9M1I6]
AT4G18197,Probable purine permease 7 [Source:UniProtKB/Swiss-Prot;Acc:Q2V3H2]
AT5G04885,Glycosyl hydrolase family protein [Source:TAIR;Acc:AT5G04885]
AT5G13110,"Glucose-6-phosphate 1-dehydrogenase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FY99]"
AT4G36270,ATP binding [Source:TAIR;Acc:AT4G36270]
AT3G06720,Importin subunit alpha-1 [Source:UniProtKB/Swiss-Prot;Acc:Q96321]
AT5G41330,BTB/POZ domain-containing protein At5g41330 [Source:UniProtKB/Swiss-Prot;Acc:Q9FN67]
AT4G31540,exocyst subunit exo70 family protein G1 [Source:TAIR;Acc:AT4G31540]
AT1G54890,Late embryogenesis abundant (LEA) protein-related [Source:TAIR;Acc:AT1G54890]
AT3G13420,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G55535.1); Has 66 Blast hits to 66 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 66; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT3G13420]
AT5G11060,Homeobox protein knotted-1-like 4 [Source:UniProtKB/Swiss-Prot;Acc:P48001]
AT1G66100,Probable thionin-2.4 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8D6]
AT5G18650,CHY-type/CTCHY-type/RING-type Zinc finger protein [Source:TAIR;Acc:AT5G18650]
AT4G14615,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknow /.../tion DUF2346 (InterPro:IPR018625); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52825.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT4G14615]
AT1G08770,PRA1 family protein E [Source:UniProtKB/Swiss-Prot;Acc:Q9FRR1]
AT3G54350,Forkhead-associated (FHA) domain-containing protein [Source:TAIR;Acc:AT3G54350]
AT4G17085,Putative membrane lipoprotein [Source:TAIR;Acc:AT4G17085]
AT1G52320,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unk /.../unction DUF632 (InterPro:IPR006867); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF630 and DUF632) (TAIR:AT5G25590.1); Has 517 Blast hits to 513 proteins in 62 species: Archae - 6; Bacteria - 6; Metazoa - 50; Fungi - 2; Plants - 427; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink). [Source:TAIR;Acc:AT1G52320]
AT5G65470,O-fucosyltransferase family protein [Source:TAIR;Acc:AT5G65470]
AT1G63930,from the Czech 'roh' meaning 'corner' [Source:TAIR;Acc:AT1G63930]
AT1G13690,ATPase E1 [Source:TAIR;Acc:AT1G13690]
AT5G52570,"Beta-carotene 3-hydroxylase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LTG0]"
AT5G39100,germin-like protein 6 [Source:TAIR;Acc:AT5G39100]
AT5G42830,HXXXD-type acyl-transferase family protein [Source:TAIR;Acc:AT5G42830]
AT1G32860,"Glucan endo-1,3-beta-glucosidase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q8L868]"
AT2G03680,Protein SPIRAL1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJW3]
AT2G14050,Probable DNA helicase MCM9 [Source:UniProtKB/Swiss-Prot;Acc:F4IFF3]
AT3G21540,transducin family protein / WD-40 repeat family protein [Source:TAIR;Acc:AT3G21540]
AT1G78190,Multifunctional methyltransferase subunit TRM112-like protein At1g78190 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9R3]
AT2G01620,F-box protein SKIP28 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU90]
AT2G15390,Probable fucosyltransferase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJP2]
AT4G02400,U3 ribonucleoprotein (Utp) family protein [Source:TAIR;Acc:AT4G02400]
AT1G22190,Ethylene-responsive transcription factor RAP2-13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LM15]
AT4G13520,Small acidic protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9T0H2]
AT5G47310,PPPDE putative thiol peptidase family protein [Source:TAIR;Acc:AT5G47310]
AT3G27570,Sucrase/ferredoxin-like family protein [Source:TAIR;Acc:AT3G27570]
AT1G69070,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Nop14-like protein (InterPr /.../07276); Has 69842 Blast hits to 35213 proteins in 1572 species: Archae - 363; Bacteria - 20593; Metazoa - 20851; Fungi - 8010; Plants - 2912; Viruses - 517; Other Eukaryotes - 16596 (source: NCBI BLink). [Source:TAIR;Acc:AT1G69070]
AT4G00720,Shaggy-related protein kinase theta [Source:UniProtKB/Swiss-Prot;Acc:Q96287]
AT5G16220,Octicosapeptide/Phox/Bem1p family protein [Source:TAIR;Acc:AT5G16220]
AT5G50090,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G62900.1); Has 1807 Blast hits to /.../proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). [Source:TAIR;Acc:AT5G50090]
AT2G32190,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G32210.1); Has 218 Blast hits to 218 proteins in 24 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 16; Plants - 202; Viruses - 0; Other Eukaryotes - 0 (so /.../NCBI BLink). [Source:TAIR;Acc:AT2G32190]
AT5G55940,ER membrane protein complex subunit 8/9 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q9FG71]
AT1G11400,partner of Y14-MAGO [Source:TAIR;Acc:AT1G11400]
AT4G39540,"Shikimate kinase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8GY88]"
AT2G46800,Metal tolerance protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZT63]
AT3G11500,Small nuclear ribonucleoprotein family protein [Source:TAIR;Acc:AT3G11500]
AT5G66480,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G50910.1); Has 30201 Blast hits to 17322 proteins in 78 /.../ies: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G66480]
AT5G25900,"Ent-kaurene oxidase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93ZB2]"
AT5G38470,Ubiquitin receptor RAD23d [Source:UniProtKB/Swiss-Prot;Acc:Q84L30]
AT3G12630,Zinc finger A20 and AN1 domain-containing stress-associated protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9LHJ8]
AT3G19580,Zinc finger protein AZF2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SSW2]
AT1G31710,Copper amine oxidase family protein [Source:TAIR;Acc:AT1G31710]
AT5G57330,Galactose mutarotase-like superfamily protein [Source:TAIR;Acc:AT5G57330]
AT1G23880,NHL domain-containing protein [Source:TAIR;Acc:AT1G23880]
AT4G25434,Nudix hydrolase 10 [Source:UniProtKB/Swiss-Prot;Acc:Q6NPD7]
AT5G11840,Protein of unknown function (DUF1230) [Source:TAIR;Acc:AT5G11840]
AT5G54490,Calcium-binding protein PBP1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LSQ6]
AT1G65960,Glutamate decarboxylase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q42472]
AT5G45130,Ras-related protein RABF2a [Source:UniProtKB/Swiss-Prot;Acc:P31582]
AT1G21780,BTB/POZ domain-containing protein At1g21780 [Source:UniProtKB/Swiss-Prot;Acc:Q9XHZ8]
AT1G67360,REF/SRPP-like protein At1g67360 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYF7]
AT5G11910,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT5G11910]
AT4G32950,Probable protein phosphatase 2C 61 [Source:UniProtKB/Swiss-Prot;Acc:O82637]
AT1G65430,Probable E3 ubiquitin-protein ligase ARI8 [Source:UniProtKB/Swiss-Prot;Acc:Q8W468]
AT5G54860,Probable folate-biopterin transporter 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWQ5]
AT2G23330,transposable element gene [Source:TAIR;Acc:AT2G23330]
AT3G13380,Receptor-like protein kinase BRI1-like 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LJF3]
AT5G17780,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT5G17780]
AT1G80180,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 10 growth stages; BEST Arabidopsis thaliana protein match is: unkno /.../tein (TAIR:AT1G15400.3); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT1G80180]
AT3G44310,Nitrilase 1 [Source:UniProtKB/Swiss-Prot;Acc:P32961]
AT1G59590,ZCF37 [Source:TAIR;Acc:AT1G59590]
AT3G46430,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, mitochondrial respiratory chain complex III; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; BEST A /.../psis thaliana protein match is: unknown protein (TAIR:AT5G59613.2); Has 51 Blast hits to 51 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 51; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G46430]"
AT1G12810,proline-rich family protein [Source:TAIR;Acc:AT1G12810]
AT2G24765,ADP-ribosylation factor 3 [Source:UniProtKB/Swiss-Prot;Acc:P40940]
AT5G44710,"CONTAINS InterPro DOMAIN/s: Ribosomal protein S27/S33, mitochondrial (InterPro:IPR013219); Has 101 Blast hits to 101 proteins in 55 species: Archae - 0; Bacteria - 0; Metazoa - 8; Fungi - 59; Plants - 26; Viruses - 0; Other Eukaryotes - 8 (source: N /.../ink). [Source:TAIR;Acc:AT5G44710]"
AT3G62040,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:TAIR;Acc:AT3G62040]
AT3G55160,"unknown protein; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 4 anthesis, F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; CONTAINS InterPro DOMAIN/s: Protein of unknown functio /.../428, death-receptor-like (InterPro:IPR019442); Has 357 Blast hits to 330 proteins in 163 species: Archae - 0; Bacteria - 0; Metazoa - 144; Fungi - 118; Plants - 50; Viruses - 0; Other Eukaryotes - 45 (source: NCBI BLink). [Source:TAIR;Acc:AT3G55160]"
AT3G09980,Family of unknown function (DUF662) [Source:TAIR;Acc:AT3G09980]
AT5G56680,"Asparagine--tRNA ligase, cytoplasmic 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SW96]"
AT1G08050,Zinc finger (C3HC4-type RING finger) family protein [Source:TAIR;Acc:AT1G08050]
AT3G11670,"Digalactosyldiacylglycerol synthase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S7D1]"
AT2G26355,other RNA [Source:TAIR;Acc:AT2G26355]
AT4G32390,Probable sugar phosphate/phosphate translocator At4g32390 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUV2]
AT3G60070,Major facilitator superfamily protein [Source:TAIR;Acc:AT3G60070]
AT2G16780,WD-40 repeat-containing protein MSI2 [Source:UniProtKB/Swiss-Prot;Acc:O22468]
AT4G12840,Protein of unknown function (DUF707) [Source:TAIR;Acc:AT4G12840]
AT4G24430,Rhamnogalacturonate lyase family protein [Source:TAIR;Acc:AT4G24430]
AT5G24380,Metal-nicotianamine transporter YSL2 [Source:UniProtKB/Swiss-Prot;Acc:Q6R3K9]
AT1G10950,Transmembrane 9 superfamily member 1 [Source:UniProtKB/Swiss-Prot;Acc:Q940G0]
AT5G66400,Dehydrin Rab18 [Source:UniProtKB/Swiss-Prot;Acc:P30185]
AT1G50930,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G20557.1); Has 215 Blast hits to 213 proteins in 63 species: Archae - 0; Bacteria - 2; Metazoa - 83; Fungi - 10; Plants - 45; Viruses - 5; Other Eukaryotes - 70 (s /.../ NCBI BLink). [Source:TAIR;Acc:AT1G50930]
AT1G55520,TATA-box-binding protein 2 [Source:UniProtKB/Swiss-Prot;Acc:P28148]
AT1G61250,Secretory carrier-associated membrane protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M5P2]
AT1G54160,Nuclear transcription factor Y subunit A-5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SYH4]
AT1G36380,unknown protein; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; Has 14 Blast hits to 14 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 14; Viruses - 0; Other /.../yotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G36380]
AT5G26740,Protein of unknown function (DUF300) [Source:TAIR;Acc:AT5G26740]
AT1G08440,Aluminum-activated malate transporter 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJE8]
AT5G29000,Protein PHR1-LIKE 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GUN5]
AT3G01070,early nodulin-like protein 16 [Source:TAIR;Acc:AT3G01070]
AT2G37090,"Probable beta-1,4-xylosyltransferase IRX9 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQC6]"
AT1G34360,translation initiation factor 3 (IF-3) family protein [Source:TAIR;Acc:AT1G34360]
AT5G24313,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422;  /.../ - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G24313]
AT3G57420,Protein of unknown function (DUF288) [Source:TAIR;Acc:AT3G57420]
AT1G69587,other RNA [Source:TAIR;Acc:AT1G69587]
AT1G68690,Proline-rich receptor-like protein kinase PERK9 [Source:UniProtKB/Swiss-Prot;Acc:Q9SX31]
AT3G21220,Mitogen-activated protein kinase kinase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXG3]
AT1G53400,Ubiquitin domain-containing protein [Source:TAIR;Acc:AT1G53400]
AT1G73020,Anoctamin-like protein At1g73020 [Source:UniProtKB/Swiss-Prot;Acc:A0MFS9]
AT1G17780,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G16575.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Euk /.../s - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT1G17780]
AT3G46810,Cysteine/Histidine-rich C1 domain family protein [Source:TAIR;Acc:AT3G46810]
AT1G24050,"RNA-processing, Lsm domain [Source:TAIR;Acc:AT1G24050]"
AT1G15910,Factor of DNA methylation 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S9P3]
AT1G02580,Histone-lysine N-methyltransferase MEDEA [Source:UniProtKB/Swiss-Prot;Acc:O65312]
AT4G35560,Transducin/WD40 repeat-like superfamily protein [Source:TAIR;Acc:AT4G35560]
AT5G49850,Jacalin-related lectin 46 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTA8]
AT1G79075,other RNA [Source:TAIR;Acc:AT1G79075]
AT1G61890,MATE efflux family protein [Source:TAIR;Acc:AT1G61890]
AT5G22875,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 /.../es: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [Source:TAIR;Acc:AT5G22875]
AT3G18440,Aluminum-activated malate transporter 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LS46]
AT1G75680,Endoglucanase 10 [Source:UniProtKB/Swiss-Prot;Acc:Q8LCP6]
AT4G11260,Protein SGT1 homolog B [Source:UniProtKB/Swiss-Prot;Acc:Q9SUT5]
AT1G10820,Protein of unknown function (DUF3755) [Source:TAIR;Acc:AT1G10820]
AT2G44578,RING/U-box superfamily protein [Source:TAIR;Acc:AT2G44578]
AT5G07290,Protein MEI2-like 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYN7]
AT4G40070,RING-H2 finger protein ATL32 [Source:UniProtKB/Swiss-Prot;Acc:Q8W571]
AT1G22885,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 15 Blast hits to 15 proteins in 2 species /.../ae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G22885]
AT3G17390,S-adenosylmethionine synthase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUT2]
AT3G24310,myb domain protein 305 [Source:TAIR;Acc:AT3G24310]
AT3G54560,Histone H2A variant 1 [Source:UniProtKB/Swiss-Prot;Acc:O23628]
AT1G61660,Transcription factor bHLH112 [Source:UniProtKB/Swiss-Prot;Acc:Q94JL3]
AT2G42780,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: regulation of transcription; LOCATED IN: integral to membrane, nucleus; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: RNA polymerase II trans /.../on factor SIII, subunit A (InterPro:IPR010684); Has 187 Blast hits to 186 proteins in 77 species: Archae - 0; Bacteria - 0; Metazoa - 104; Fungi - 29; Plants - 38; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink). [Source:TAIR;Acc:AT2G42780]"
AT3G62660,Probable galacturonosyltransferase-like 7 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYF4]
AT3G15630,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown p /.../ (TAIR:AT1G52720.1); Has 61 Blast hits to 61 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 61; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G15630]
AT3G59730,Putative L-type lectin-domain containing receptor kinase V.6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LEA3]
AT3G57630,exostosin family protein [Source:TAIR;Acc:AT3G57630]
AT4G35270,Protein NLP2 [Source:UniProtKB/Swiss-Prot;Acc:Q7X9B9]
AT2G34680,187-kDa microtubule-associated protein AIR9 [Source:UniProtKB/Swiss-Prot;Acc:F4IIU4]
AT4G27720,Major facilitator superfamily protein [Source:TAIR;Acc:AT4G27720]
AT5G64530,xylem NAC domain 1 [Source:TAIR;Acc:AT5G64530]
AT1G75000,GNS1/SUR4 membrane protein family [Source:TAIR;Acc:AT1G75000]
AT3G18750,Probable serine/threonine-protein kinase WNK6 [Source:UniProtKB/Swiss-Prot;Acc:Q8S8Y8]
AT5G07650,Actin-binding FH2 protein [Source:TAIR;Acc:AT5G07650]
AT1G16460,Thiosulfate/3-mercaptopyruvate sulfurtransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q24JL3]
AT1G17950,myb domain protein 52 [Source:TAIR;Acc:AT1G17950]
AT3G55420,unknown protein; Has 21 Blast hits to 21 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 21; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT3G55420]
AT4G20362,other RNA [Source:TAIR;Acc:AT4G20362]
AT1G25530,Lysine histidine transporter-like 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6M2]
AT2G47270,Transcription factor UPBEAT1 [Source:UniProtKB/Swiss-Prot;Acc:O22901]
AT5G67410,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G14850.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - /.../source: NCBI BLink). [Source:TAIR;Acc:AT5G67410]
AT3G13670,Protein kinase family protein [Source:TAIR;Acc:AT3G13670]
AT1G22160,Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G22160]
AT1G18910,zinc ion binding;zinc ion binding [Source:TAIR;Acc:AT1G18910]
